ticker,date,horizon,decision,score,confidence,market_regime,archetype,phase,price,technical_score,fundamental_score,valuation_score,earnings_score,trend,rsi,is_extended,entry_preferred,stop_loss,first_target,sc_momentum,sc_trend,sc_entry_timing,sc_volume_accumulation,sc_volatility_risk,sc_relative_strength,sc_growth,sc_valuation,sc_quality,sc_ownership,sc_catalyst,forward_return,spy_return,qqq_return,excess_return,excess_return_vs_qqq,max_drawdown_period
AAPL,2022-07-04,long_term,WATCHLIST_VALUATION_TOO_RICH,48.95,low,BEAR_RISK_OFF,PROFITABLE_GROWTH,3,136.3214569091797,20.0,68.0,45.0,40.0,downtrend,47.32,False,135.8581,134.5,138.98,30.0,25.0,72.5,61.0,18.8,18.0,85.0,26.7,50.0,50.0,55.0,38.5392,17.9093,29.9554,20.6299,8.5838,-10.3514
AAPL,2022-07-11,short_term,WATCHLIST,48.76,low,BEAR_RISK_OFF,PROFITABLE_GROWTH,3,142.14991760253906,45.0,68.0,45.0,40.0,sideways,54.17,False,135.8581,134.5,149.59,50.0,40.0,68.8,73.0,25.9,27.8,85.0,26.7,50.0,50.0,55.0,13.9636,7.4851,10.9569,6.4785,3.0067,-1.8983
AAPL,2022-07-11,medium_term,WATCHLIST_NEEDS_CONFIRMATION,51.11,medium,BEAR_RISK_OFF,PROFITABLE_GROWTH,3,142.14991760253906,45.0,68.0,45.0,40.0,sideways,54.17,False,135.8581,134.5,149.59,50.0,40.0,68.8,73.0,25.9,27.8,85.0,26.7,50.0,50.0,55.0,-3.1652,-5.1921,-6.7314,2.0269,3.5662,-4.8241
AAPL,2022-07-11,long_term,WATCHLIST_VALUATION_TOO_RICH,51.8,medium,BEAR_RISK_OFF,PROFITABLE_GROWTH,3,142.14991760253906,45.0,68.0,45.0,40.0,sideways,54.17,False,135.8581,134.5,149.59,50.0,40.0,68.8,73.0,25.9,27.8,85.0,26.7,50.0,50.0,55.0,31.7755,17.9771,29.9052,13.7984,1.8703,-14.0272
AAPL,2022-07-18,short_term,WAIT_FOR_PULLBACK,58.43,medium,BEAR_RISK_OFF,PROFITABLE_GROWTH,3,144.3086395263672,60.0,68.0,45.0,40.0,sideways,55.37,False,135.8581,134.5,149.59,73.7,50.0,68.8,88.0,25.9,33.0,85.0,26.7,50.0,50.0,55.0,17.9238,12.2817,15.0864,5.6421,2.8374,-0.1088
AAPL,2022-07-18,medium_term,WATCHLIST_NEEDS_CONFIRMATION,56.28,medium,BEAR_RISK_OFF,PROFITABLE_GROWTH,3,144.3086395263672,60.0,68.0,45.0,40.0,sideways,55.37,False,135.8581,134.5,149.59,73.7,50.0,68.8,88.0,25.9,33.0,85.0,26.7,50.0,50.0,55.0,-5.7781,-5.9827,-9.7414,0.2046,3.9633,-8.5084
AAPL,2022-07-18,long_term,WATCHLIST_VALUATION_TOO_RICH,53.98,medium,BEAR_RISK_OFF,PROFITABLE_GROWTH,3,144.3086395263672,60.0,68.0,45.0,40.0,sideways,55.37,False,135.8581,134.5,149.59,73.7,50.0,68.8,88.0,25.9,33.0,85.0,26.7,50.0,50.0,55.0,33.45,21.1241,34.2086,12.3259,-0.7586,-15.3133
AAPL,2022-07-25,short_term,WAIT_FOR_PULLBACK,64.05,medium,SIDEWAYS_CHOPPY,PROFITABLE_GROWTH,3,150.07823181152344,60.0,68.0,45.0,40.0,sideways,60.55,False,149.48,147.99,151.43,80.0,50.0,68.8,81.0,25.9,40.0,85.0,26.7,50.0,50.0,55.0,9.7108,4.4948,4.6925,5.216,5.0183,-1.4057
AAPL,2022-07-25,medium_term,WATCHLIST_NEEDS_CONFIRMATION,58.32,medium,SIDEWAYS_CHOPPY,PROFITABLE_GROWTH,3,150.07823181152344,60.0,68.0,45.0,40.0,sideways,60.55,False,149.48,147.99,151.43,80.0,50.0,68.8,81.0,25.9,40.0,85.0,26.7,50.0,50.0,55.0,-3.5799,-4.9909,-8.111,1.411,4.5311,-12.0257
AAPL,2022-07-25,long_term,WATCHLIST_VALUATION_TOO_RICH,54.3,medium,SIDEWAYS_CHOPPY,PROFITABLE_GROWTH,3,150.07823181152344,60.0,68.0,45.0,40.0,sideways,60.55,False,149.48,147.99,151.43,80.0,50.0,68.8,81.0,25.9,40.0,85.0,26.7,50.0,50.0,55.0,27.9251,17.0332,26.6233,10.8919,1.3018,-18.569
AAPL,2022-08-01,short_term,WAIT_FOR_PULLBACK,65.4,medium_high,SIDEWAYS_CHOPPY,PROFITABLE_GROWTH,3,158.4774627685547,95.0,68.0,45.0,50.0,weak_uptrend,68.06,False,155.03,153.48,160.42,92.0,90.0,51.2,81.0,30.6,46.0,85.0,26.7,50.0,50.0,60.0,0.0583,-1.9816,-3.4447,2.0399,3.503,-1.164
AAPL,2022-08-01,medium_term,BUY_STARTER,67.72,medium_high,SIDEWAYS_CHOPPY,PROFITABLE_GROWTH,3,158.4774627685547,95.0,68.0,45.0,50.0,weak_uptrend,68.06,False,158.48,153.48,160.42,92.0,90.0,51.2,81.0,30.6,46.0,85.0,26.7,50.0,50.0,60.0,-3.4386,-4.9059,-10.64,1.4673,7.2014,-16.6883
AAPL,2022-08-01,long_term,WATCHLIST_VALUATION_TOO_RICH,59.63,medium,SIDEWAYS_CHOPPY,PROFITABLE_GROWTH,3,158.4774627685547,95.0,68.0,45.0,50.0,weak_uptrend,68.06,False,155.03,153.48,160.42,92.0,90.0,51.2,81.0,30.6,46.0,85.0,26.7,50.0,50.0,60.0,19.9492,11.3715,19.5988,8.5777,0.3504,-22.8848
AAPL,2022-08-08,short_term,WAIT_FOR_PULLBACK,64.22,medium,SIDEWAYS_CHOPPY,PROFITABLE_GROWTH,3,161.99913024902344,95.0,68.0,45.0,50.0,weak_uptrend,68.55,False,159.845,158.25,163.43,92.0,90.0,56.2,66.0,38.8,46.0,85.0,26.7,50.0,50.0,60.0,-6.2716,-5.3827,-8.6246,-0.8889,2.353,-6.7811
