ticker,date,horizon,decision,score,confidence,price,technical_score,fundamental_score,valuation_score,earnings_score,trend,rsi,is_extended,entry_preferred,stop_loss,first_target,forward_return,spy_return,excess_return
AAPL,2025-03-24,short_term,AVOID,41.5,low,219.7721405029297,20.0,90.0,35.0,50.0,downtrend,43.32,False,215.4572,213.3,228.34,-9.5094,-8.1574,-1.352
AAPL,2025-03-24,medium_term,AVOID,51.75,medium,219.7721405029297,20.0,90.0,35.0,50.0,downtrend,43.32,False,215.4572,213.3,228.34,-8.8191,6.8978,-15.7169
AAPL,2025-03-24,long_term,AVOID,59.5,medium,219.7721405029297,20.0,90.0,35.0,50.0,downtrend,43.32,False,215.4572,213.3,228.34,14.9463,15.7242,-0.7779
AAPL,2025-03-31,short_term,AVOID,43.25,low,221.1660614013672,25.0,90.0,20.0,50.0,downtrend,46.85,False,215.4572,213.3,228.34,-4.916,-0.9063,-4.0097
AAPL,2025-03-31,medium_term,AVOID,50.5,medium,221.1660614013672,25.0,90.0,20.0,50.0,downtrend,46.85,False,215.4572,213.3,228.34,-3.7365,12.1201,-15.8566
AAPL,2025-03-31,long_term,AVOID,56.75,medium,221.1660614013672,25.0,90.0,20.0,50.0,downtrend,46.85,False,215.4572,213.3,228.34,15.5828,18.4775,-2.8947
AAPL,2025-04-07,short_term,AVOID,36.25,low,180.6725616455078,5.0,90.0,20.0,40.0,downtrend,22.77,False,179.0925,177.3,183.17,9.396,10.7895,-1.3935
AAPL,2025-04-07,medium_term,AVOID,44.0,low,180.6725616455078,5.0,90.0,20.0,40.0,downtrend,22.77,False,179.0925,177.3,183.17,16.5198,24.0064,-7.4866
AAPL,2025-04-07,long_term,AVOID,54.25,medium,180.6725616455078,5.0,90.0,20.0,40.0,downtrend,22.77,False,179.0925,177.3,183.17,44.1779,36.3464,7.8315
AAPL,2025-04-14,short_term,AVOID,43.25,low,201.6411590576172,25.0,90.0,20.0,40.0,downtrend,45.67,False,194.5,192.56,211.07,5.2781,8.8515,-3.5734
AAPL,2025-04-14,medium_term,AVOID,48.0,low,201.6411590576172,25.0,90.0,20.0,40.0,downtrend,45.67,False,194.5,192.56,211.07,4.4129,16.7524,-12.3395
AAPL,2025-04-14,long_term,AVOID,55.25,medium,201.6411590576172,25.0,90.0,20.0,40.0,downtrend,45.67,False,194.5,192.56,211.07,30.6281,31.6411,-1.013
AAPL,2025-04-21,short_term,AVOID,39.75,low,192.32177734375,15.0,90.0,20.0,40.0,downtrend,41.42,False,191.11,189.2,195.39,8.2283,15.7566,-7.5283
AAPL,2025-04-21,medium_term,AVOID,46.0,low,192.32177734375,15.0,90.0,20.0,40.0,downtrend,41.42,False,191.11,189.2,195.39,10.8099,23.8218,-13.0119
AAPL,2025-04-21,long_term,AVOID,54.75,medium,192.32177734375,15.0,90.0,20.0,40.0,downtrend,41.42,False,191.11,189.2,195.39,42.038,39.9866,2.0514
AAPL,2025-04-28,short_term,AVOID,43.25,low,209.22808837890625,25.0,90.0,20.0,40.0,downtrend,52.53,False,205.0,202.95,211.54,-4.6005,7.316,-11.9165
AAPL,2025-04-28,medium_term,AVOID,48.0,low,209.22808837890625,25.0,90.0,20.0,40.0,downtrend,52.53,False,205.0,202.95,211.54,-1.0935,15.0855,-16.179
AAPL,2025-04-28,long_term,AVOID,55.25,medium,209.22808837890625,25.0,90.0,20.0,40.0,downtrend,52.53,False,205.0,202.95,211.54,29.127,30.6594,-1.5324
AAPL,2025-05-05,short_term,AVOID,41.5,low,198.02691650390625,20.0,90.0,20.0,50.0,downtrend,43.38,False,194.5,192.56,199.74,2.3362,5.7816,-3.4454
AAPL,2025-05-05,medium_term,AVOID,49.5,low,198.02691650390625,20.0,90.0,20.0,50.0,downtrend,43.38,False,194.5,192.56,199.74,10.7741,12.5302,-1.7561
AAPL,2025-05-05,long_term,AVOID,56.5,medium,198.02691650390625,20.0,90.0,20.0,50.0,downtrend,43.38,False,194.5,192.56,199.74,,,
AAPL,2025-05-12,short_term,WATCHLIST,50.25,medium,210.15048217773438,45.0,90.0,20.0,50.0,sideways,55.12,False,209.6263,207.53,213.44,-3.8522,3.446,-7.2982
AAPL,2025-05-12,medium_term,AVOID,54.5,medium,210.15048217773438,45.0,90.0,20.0,50.0,sideways,55.12,False,209.6263,207.53,213.44,10.5575,10.955,-0.3975
AAPL,2025-05-12,long_term,AVOID,57.75,medium,210.15048217773438,45.0,90.0,20.0,50.0,sideways,55.12,False,209.6263,207.53,213.44,,,
AAPL,2025-05-19,short_term,AVOID,48.5,low,208.14659118652344,40.0,90.0,20.0,50.0,sideways,52.17,False,205.385,203.33,213.66,-6.2937,0.4505,-6.7442
AAPL,2025-05-19,medium_term,AVOID,53.5,medium,208.14659118652344,40.0,90.0,20.0,50.0,sideways,52.17,False,205.385,203.33,213.66,7.8433,7.1579,0.6854
AAPL,2025-05-19,long_term,AVOID,57.5,medium,208.14659118652344,40.0,90.0,20.0,50.0,sideways,52.17,False,205.385,203.33,213.66,,,
AAPL,2025-05-26,short_term,AVOID,41.5,low,194.6775665283203,20.0,90.0,20.0,50.0,downtrend,38.83,False,194.5,192.56,195.39,2.5759,2.9474,-0.3715
AAPL,2025-05-26,medium_term,AVOID,49.5,low,194.6775665283203,20.0,90.0,20.0,50.0,downtrend,38.83,False,194.5,192.56,195.39,18.1705,9.7085,8.462
AAPL,2025-05-26,long_term,AVOID,56.5,medium,194.6775665283203,20.0,90.0,20.0,50.0,downtrend,38.83,False,194.5,192.56,195.39,,,
AAPL,2025-06-02,short_term,AVOID,39.75,low,201.08807373046875,15.0,90.0,20.0,50.0,downtrend,47.0,False,195.34,193.39,203.19,3.0342,4.5159,-1.4817
AAPL,2025-06-02,medium_term,AVOID,48.5,low,201.08807373046875,15.0,90.0,20.0,50.0,downtrend,47.0,False,195.34,193.39,203.19,19.0144,9.8411,9.1733
AAPL,2025-06-02,long_term,AVOID,56.25,medium,201.08807373046875,15.0,90.0,20.0,50.0,downtrend,47.0,False,195.34,193.39,203.19,,,
AAPL,2025-06-09,short_term,AVOID,43.25,low,200.8388214111328,25.0,90.0,20.0,50.0,downtrend,47.06,False,199.54,197.54,203.19,4.8101,4.3731,0.437
AAPL,2025-06-09,medium_term,AVOID,50.5,medium,200.8388214111328,25.0,90.0,20.0,50.0,downtrend,47.06,False,199.54,197.54,203.19,14.3167,9.9877,4.329
AAPL,2025-06-09,long_term,AVOID,56.75,medium,200.8388214111328,25.0,90.0,20.0,50.0,downtrend,47.06,False,199.54,197.54,203.19,,,
AAPL,2025-06-16,short_term,AVOID,41.5,low,197.81802368164062,20.0,90.0,20.0,50.0,downtrend,44.24,False,195.4925,193.54,199.75,5.9167,3.8802,2.0365
AAPL,2025-06-16,medium_term,AVOID,49.5,low,197.81802368164062,20.0,90.0,20.0,50.0,downtrend,44.24,False,195.4925,193.54,199.75,20.0232,10.2107,9.8125
AAPL,2025-06-16,long_term,AVOID,56.5,medium,197.81802368164062,20.0,90.0,20.0,50.0,downtrend,44.24,False,195.4925,193.54,199.75,,,
AAPL,2025-06-23,short_term,WATCHLIST,50.25,medium,200.888671875,45.0,90.0,20.0,50.0,sideways,50.44,False,199.475,197.48,205.03,6.402,4.7838,1.6182
AAPL,2025-06-23,medium_term,AVOID,54.5,medium,200.888671875,45.0,90.0,20.0,50.0,sideways,50.44,False,199.475,197.48,205.03,25.358,10.4612,14.8968
AAPL,2025-06-23,long_term,AVOID,57.75,medium,200.888671875,45.0,90.0,20.0,50.0,sideways,50.44,False,199.475,197.48,205.03,,,
AAPL,2025-06-30,short_term,WATCHLIST,52.25,medium,204.5475311279297,50.0,95.0,35.0,70.0,sideways,56.84,False,199.335,197.34,205.03,2.9732,2.8178,0.1554
AAPL,2025-06-30,medium_term,WATCHLIST,64.0,medium,204.5475311279297,50.0,95.0,35.0,70.0,sideways,56.84,False,199.335,197.34,205.03,24.6478,8.4896,16.1582
AAPL,2025-06-30,long_term,WATCHLIST,65.75,medium_high,204.5475311279297,50.0,95.0,35.0,70.0,sideways,56.84,False,199.335,197.34,205.03,,,
AAPL,2025-07-07,short_term,WATCHLIST,57.5,medium,209.31304931640625,65.0,95.0,35.0,60.0,sideways,60.03,False,205.045,202.99,213.66,-3.1436,1.6901,-4.8337
AAPL,2025-07-07,medium_term,WATCHLIST,64.5,medium,209.31304931640625,65.0,95.0,35.0,60.0,sideways,60.03,False,205.045,202.99,213.66,22.3011,8.1032,14.1979
AAPL,2025-07-07,long_term,WATCHLIST,65.0,medium_high,209.31304931640625,65.0,95.0,35.0,60.0,sideways,60.03,False,205.045,202.99,213.66,,,
AAPL,2025-07-14,short_term,WATCHLIST,57.5,medium,207.987060546875,65.0,95.0,35.0,60.0,sideways,55.04,False,199.3112,197.32,214.65,9.0201,1.7781,7.242
AAPL,2025-07-14,medium_term,WATCHLIST,64.5,medium,207.987060546875,65.0,95.0,35.0,60.0,sideways,55.04,False,199.3112,197.32,214.65,18.901,6.2829,12.6181
AAPL,2025-07-14,long_term,WATCHLIST,65.0,medium_high,207.987060546875,65.0,95.0,35.0,60.0,sideways,55.04,False,199.3112,197.32,214.65,,,
AAPL,2025-07-21,short_term,WATCHLIST,57.5,medium,211.83535766601562,65.0,95.0,25.0,60.0,sideways,61.71,False,209.7229,207.63,214.66,8.7877,2.3109,6.4768
AAPL,2025-07-21,medium_term,WATCHLIST,63.0,medium,211.83535766601562,65.0,95.0,25.0,60.0,sideways,61.71,False,209.7229,207.63,214.66,23.8085,7.0584,16.7501
AAPL,2025-07-21,long_term,WATCHLIST,63.0,medium,211.83535766601562,65.0,95.0,25.0,60.0,sideways,61.71,False,209.7229,207.63,214.66,,,
