applied_size_caps,archetype,days_held,entry_date,entry_index,entry_label,entry_method,entry_price,entry_strategy,entry_wait_days,event_count,exit_date,exit_index,exit_price,exit_reason,horizon,initial_stop,mae_pct,market_regime,mfe_capture_pct,mfe_pct,partial_exit_pct,position_size_multiplier,realized_return_pct,selected_setup,signal_date,source_decision,target_1,target_1_hit,ticker
HIGH_ATR_CAP,TECHNICAL_NATIVE,5,2018-12-17,389,BUY_STARTER,NEXT_OPEN,33.9784,quality_dislocation,0,3,2018-12-24,394,33.9784,TRAILING_STOP_EXIT,short_term,31.5985,-2.6798,BEAR_RISK_OFF,8.6615,12.1298,20.0,0.25,1.0506,BROKEN_CHART_QUALITY_RECOVERY,2018-12-14,,35.7633,True,GE
HIGH_ATR_CAP,TECHNICAL_NATIVE,141,2025-04-15,1979,BUY_STARTER,NEXT_OPEN,71.12,quality_dislocation,0,3,2025-11-05,2120,237.5,MAX_SIM_WINDOW_EXIT,medium_term,60.0015,-7.6912,BEAR_RISK_OFF,97.617,237.2891,1.0,0.25,231.6345,BROKEN_CHART_QUALITY_RECOVERY,2025-04-14,,73.3437,True,MU
HIGH_ATR_CAP,TECHNICAL_NATIVE,60,2025-04-15,1979,BUY_STARTER,NEXT_OPEN,71.12,quality_dislocation,0,3,2025-07-14,2039,117.8414,TRAILING_STOP_EXIT,short_term,60.9246,-7.6912,BEAR_RISK_OFF,66.2463,82.5787,20.0,0.25,54.7054,BROKEN_CHART_QUALITY_RECOVERY,2025-04-14,,78.7666,True,MU
HIGH_ATR_CAP,TECHNICAL_NATIVE,141,2020-03-26,709,BUY_STARTER,NEXT_OPEN,31.46,quality_dislocation,0,3,2020-10-15,850,49.26,MAX_SIM_WINDOW_EXIT,medium_term,26.8418,0.0,BEAR_RISK_OFF,95.2525,58.8366,1.0,0.25,56.0433,BROKEN_CHART_QUALITY_RECOVERY,2020-03-25,,32.3836,True,NUE
HIGH_ATR_CAP,TECHNICAL_NATIVE,33,2020-03-26,709,BUY_STARTER,NEXT_OPEN,31.46,quality_dislocation,0,3,2020-05-13,742,37.9779,TRAILING_STOP_EXIT,short_term,27.2547,0.0,BEAR_RISK_OFF,50.6946,36.6497,20.0,0.25,18.5794,BROKEN_CHART_QUALITY_RECOVERY,2020-03-25,,34.614,True,NUE
HIGH_ATR_CAP,TECHNICAL_NATIVE,141,2020-03-26,709,BUY_STARTER,NEXT_OPEN,41.07,quality_dislocation,0,3,2020-10-15,850,58.45,MAX_SIM_WINDOW_EXIT,medium_term,33.8813,0.0,BEAR_RISK_OFF,96.6905,43.365,1.0,0.25,41.9298,BROKEN_CHART_QUALITY_RECOVERY,2020-03-25,,42.5077,True,PEG
HIGH_ATR_CAP,TECHNICAL_NATIVE,25,2020-03-26,709,BUY_STARTER,NEXT_OPEN,41.07,quality_dislocation,0,3,2020-05-01,734,49.0414,TRAILING_STOP_EXIT,short_term,34.4025,0.0,BEAR_RISK_OFF,53.4584,33.6012,20.0,0.25,17.9627,BROKEN_CHART_QUALITY_RECOVERY,2020-03-25,,46.0706,True,PEG
HIGH_ATR_CAP,TECHNICAL_NATIVE,6,2025-04-15,1506,BUY_STARTER,NEXT_OPEN,25.88,quality_dislocation,0,3,2025-04-24,1512,25.88,STOP_LOSS_EXIT,medium_term,23.088,-8.3076,BEAR_RISK_OFF,0.4432,4.8686,1.0,0.25,0.0216,BROKEN_CHART_QUALITY_RECOVERY,2025-04-14,,26.4384,True,PINS
HIGH_ATR_CAP,TECHNICAL_NATIVE,60,2025-04-15,1506,BUY_STARTER,NEXT_OPEN,25.88,quality_dislocation,0,3,2025-07-14,1566,35.98,MAX_SIM_WINDOW_EXIT,short_term,23.4432,-8.3076,BEAR_RISK_OFF,78.7829,41.4219,20.0,0.25,32.6334,BROKEN_CHART_QUALITY_RECOVERY,2025-04-14,,27.7076,True,PINS
HIGH_ATR_CAP,TECHNICAL_NATIVE,4,2020-03-26,709,BUY_STARTER,NEXT_OPEN,92.58,quality_dislocation,0,3,2020-04-01,713,92.58,STOP_LOSS_EXIT,medium_term,77.4248,-6.5457,BEAR_RISK_OFF,0.283,11.5684,1.0,0.25,0.0327,BROKEN_CHART_QUALITY_RECOVERY,2020-03-25,,95.6111,True,PNC
